a_score,score,avis,år,file
0.04893617021276596,23.0,information,2012-2013,article1.txt
-0.0030120481927710845,-1.0,information,2012-2013,article10.txt
0.024844720496894408,12.0,information,2012-2013,article11.txt
-0.012254901960784314,-5.0,information,2012-2013,article12.txt
0.028985507246376812,14.0,information,2012-2013,article13.txt
0.05373134328358209,18.0,information,2012-2013,article14.txt
0.03762376237623762,19.0,information,2012-2013,article15.txt
0.034653465346534656,14.0,information,2012-2013,article16.txt
0.04899777282850779,22.0,information,2012-2013,article17.txt
0.05924170616113744,25.0,information,2012-2013,article18.txt
0.03571428571428571,15.0,information,2012-2013,article19.txt
0.046753246753246755,18.0,information,2012-2013,article2.txt
0.03208556149732621,12.0,information,2012-2013,article20.txt
0.03505154639175258,17.0,information,2012-2013,article21.txt
0.03017241379310345,14.0,information,2012-2013,article22.txt
0.11320754716981132,48.0,information,2012-2013,article23.txt
0.07276995305164319,31.0,information,2012-2013,article24.txt
0.010752688172043012,5.0,information,2012-2013,article25.txt
0.009950248756218905,4.0,information,2012-2013,article26.txt
0.016908212560386472,7.0,information,2012-2013,article27.txt
-0.007352941176470588,-4.0,information,2012-2013,article28.txt
-0.0069084628670120895,-4.0,information,2012-2013,article29.txt
0.029723991507430998,14.0,information,2012-2013,article3.txt
0.05156537753222836,28.0,information,2012-2013,article30.txt
0.04603580562659847,18.0,information,2012-2013,article31.txt
0.04966139954853273,22.0,information,2012-2013,article32.txt
0.05012531328320802,20.0,information,2012-2013,article33.txt
0.032818532818532815,17.0,information,2012-2013,article34.txt
-0.011204481792717087,-4.0,information,2012-2013,article35.txt
-0.013011152416356878,-7.0,information,2012-2013,article36.txt
0.014925373134328358,6.0,information,2012-2013,article37.txt
0.04497354497354497,17.0,information,2012-2013,article38.txt
0.010869565217391304,5.0,information,2012-2013,article39.txt
0.0176678445229682,5.0,information,2012-2013,article4.txt
0.007075471698113208,3.0,information,2012-2013,article40.txt
0.04259634888438134,21.0,information,2012-2013,article41.txt
0.011650485436893204,6.0,information,2012-2013,article5.txt
0.021739130434782608,8.0,information,2012-2013,article6.txt
0.0,0.0,information,2012-2013,article7.txt
0.05895691609977324,26.0,information,2012-2013,article8.txt
0.04204753199268738,23.0,information,2012-2013,article9.txt
