a_score,score,avis,år,file
0.024390243902439025,10.0,jyllandsposten,2012-2013,article1.txt
0.04481132075471698,19.0,jyllandsposten,2012-2013,article10.txt
0.010460251046025104,5.0,jyllandsposten,2012-2013,article11.txt
-0.003795066413662239,-2.0,jyllandsposten,2012-2013,article12.txt
0.0,0.0,jyllandsposten,2012-2013,article13.txt
0.028925619834710745,14.0,jyllandsposten,2012-2013,article14.txt
-0.04316546762589928,-18.0,jyllandsposten,2012-2013,article15.txt
-0.019417475728155338,-6.0,jyllandsposten,2012-2013,article16.txt
0.007653061224489796,3.0,jyllandsposten,2012-2013,article17.txt
0.012919896640826873,5.0,jyllandsposten,2012-2013,article18.txt
0.01606425702811245,8.0,jyllandsposten,2012-2013,article19.txt
0.061488673139158574,19.0,jyllandsposten,2012-2013,article2.txt
0.06142506142506143,25.0,jyllandsposten,2012-2013,article20.txt
0.041353383458646614,22.0,jyllandsposten,2012-2013,article21.txt
0.012690355329949238,5.0,jyllandsposten,2012-2013,article22.txt
0.022026431718061675,10.0,jyllandsposten,2012-2013,article23.txt
0.06818181818181818,21.0,jyllandsposten,2012-2013,article24.txt
0.03981264637002342,17.0,jyllandsposten,2012-2013,article25.txt
0.0514018691588785,22.0,jyllandsposten,2012-2013,article26.txt
0.1,37.0,jyllandsposten,2012-2013,article27.txt
0.00819672131147541,2.0,jyllandsposten,2012-2013,article28.txt
-0.002638522427440633,-1.0,jyllandsposten,2012-2013,article29.txt
0.014563106796116505,6.0,jyllandsposten,2012-2013,article3.txt
0.014234875444839857,4.0,jyllandsposten,2012-2013,article30.txt
-0.009708737864077669,-3.0,jyllandsposten,2012-2013,article31.txt
0.008281573498964804,4.0,jyllandsposten,2012-2013,article32.txt
0.0,0.0,jyllandsposten,2012-2013,article33.txt
0.012315270935960592,5.0,jyllandsposten,2012-2013,article4.txt
0.010706638115631691,5.0,jyllandsposten,2012-2013,article5.txt
0.012012012012012012,4.0,jyllandsposten,2012-2013,article6.txt
0.012690355329949238,5.0,jyllandsposten,2012-2013,article7.txt
0.01583710407239819,7.0,jyllandsposten,2012-2013,article8.txt
0.029017857142857144,13.0,jyllandsposten,2012-2013,article9.txt
