a_score,score,avis,år,file
0.01643835616438356,6.0,information,2011-2012,article1.txt
-0.00847457627118644,-4.0,information,2011-2012,article10.txt
0.06692160611854685,35.0,information,2011-2012,article11.txt
0.016,6.0,information,2011-2012,article12.txt
-0.002074688796680498,-1.0,information,2011-2012,article13.txt
0.12375249500998003,62.0,information,2011-2012,article14.txt
-0.041666666666666664,-11.0,information,2011-2012,article15.txt
0.044,22.0,information,2011-2012,article16.txt
0.0389344262295082,19.0,information,2011-2012,article17.txt
-0.0087527352297593,-4.0,information,2011-2012,article18.txt
-0.004608294930875576,-2.0,information,2011-2012,article19.txt
0.008547008547008548,3.0,information,2011-2012,article2.txt
-0.02522935779816514,-11.0,information,2011-2012,article20.txt
-0.020370370370370372,-11.0,information,2011-2012,article21.txt
-0.03551401869158879,-19.0,information,2011-2012,article22.txt
-0.0473186119873817,-15.0,information,2011-2012,article23.txt
-0.03937007874015748,-20.0,information,2011-2012,article24.txt
0.005208333333333333,3.0,information,2011-2012,article25.txt
0.0018450184501845018,1.0,information,2011-2012,article26.txt
0.03724928366762178,13.0,information,2011-2012,article27.txt
0.015037593984962405,4.0,information,2011-2012,article3.txt
0.014150943396226415,6.0,information,2011-2012,article4.txt
0.054820415879017016,29.0,information,2011-2012,article5.txt
-0.01834862385321101,-6.0,information,2011-2012,article6.txt
-0.019157088122605363,-10.0,information,2011-2012,article7.txt
0.047619047619047616,21.0,information,2011-2012,article8.txt
-0.0049382716049382715,-2.0,information,2011-2012,article9.txt
