a_score,score,avis,år,file
0.019438444924406047,9.0,information,2015-2016,article1.txt
0.01839080459770115,8.0,information,2015-2016,article10.txt
0.03854389721627409,18.0,information,2015-2016,article11.txt
0.02834008097165992,14.0,information,2015-2016,article12.txt
0.0060790273556231,2.0,information,2015-2016,article13.txt
0.0033112582781456954,2.0,information,2015-2016,article14.txt
-0.027247956403269755,-10.0,information,2015-2016,article15.txt
0.005141388174807198,2.0,information,2015-2016,article16.txt
0.02557544757033248,10.0,information,2015-2016,article17.txt
0.05542168674698795,23.0,information,2015-2016,article18.txt
0.022900763358778626,9.0,information,2015-2016,article19.txt
-0.010752688172043012,-4.0,information,2015-2016,article2.txt
0.0,0.0,information,2015-2016,article20.txt
0.008645533141210375,3.0,information,2015-2016,article21.txt
0.01545253863134658,7.0,information,2015-2016,article22.txt
0.008771929824561403,4.0,information,2015-2016,article23.txt
0.02830188679245283,12.0,information,2015-2016,article24.txt
-0.02620967741935484,-13.0,information,2015-2016,article25.txt
0.03164556962025317,10.0,information,2015-2016,article26.txt
0.005405405405405406,3.0,information,2015-2016,article27.txt
0.006198347107438017,3.0,information,2015-2016,article28.txt
0.0574468085106383,27.0,information,2015-2016,article29.txt
-0.0020242914979757085,-1.0,information,2015-2016,article3.txt
0.05016181229773463,31.0,information,2015-2016,article30.txt
0.0243161094224924,8.0,information,2015-2016,article31.txt
-0.0743801652892562,-36.0,information,2015-2016,article32.txt
0.008368200836820083,4.0,information,2015-2016,article33.txt
0.009732360097323601,4.0,information,2015-2016,article34.txt
0.054365733113673806,33.0,information,2015-2016,article35.txt
0.03002309468822171,13.0,information,2015-2016,article36.txt
0.0057306590257879654,2.0,information,2015-2016,article37.txt
-0.017660044150110375,-8.0,information,2015-2016,article38.txt
0.020599250936329586,11.0,information,2015-2016,article39.txt
0.016018306636155607,7.0,information,2015-2016,article4.txt
-0.025210084033613446,-9.0,information,2015-2016,article40.txt
0.028985507246376812,12.0,information,2015-2016,article41.txt
-0.001669449081803005,-1.0,information,2015-2016,article42.txt
-0.008695652173913044,-3.0,information,2015-2016,article43.txt
0.011574074074074073,5.0,information,2015-2016,article44.txt
0.008361204013377926,5.0,information,2015-2016,article45.txt
0.026223776223776224,15.0,information,2015-2016,article46.txt
0.013513513513513514,4.0,information,2015-2016,article47.txt
0.043568464730290454,21.0,information,2015-2016,article48.txt
-0.011834319526627219,-6.0,information,2015-2016,article49.txt
0.047524752475247525,24.0,information,2015-2016,article5.txt
0.018214936247723135,10.0,information,2015-2016,article50.txt
0.023936170212765957,9.0,information,2015-2016,article6.txt
0.018140589569160998,8.0,information,2015-2016,article7.txt
0.03234501347708895,12.0,information,2015-2016,article8.txt
0.03343465045592705,11.0,information,2015-2016,article9.txt
