a_score,score,avis,år,file
0.0066518847006651885,3.0,information,2009-2010,article1.txt
-0.0048543689320388345,-2.0,information,2009-2010,article10.txt
0.03926096997690531,17.0,information,2009-2010,article11.txt
0.03970223325062035,16.0,information,2009-2010,article12.txt
-0.04144144144144144,-23.0,information,2009-2010,article13.txt
0.03480278422273782,15.0,information,2009-2010,article14.txt
0.01417004048582996,7.0,information,2009-2010,article15.txt
0.03333333333333333,15.0,information,2009-2010,article16.txt
-0.023195876288659795,-9.0,information,2009-2010,article17.txt
0.01152073732718894,5.0,information,2009-2010,article18.txt
0.02729044834307992,14.0,information,2009-2010,article19.txt
-0.04847396768402154,-27.0,information,2009-2010,article2.txt
-0.02702702702702703,-15.0,information,2009-2010,article20.txt
0.004081632653061225,2.0,information,2009-2010,article21.txt
-0.02476780185758514,-8.0,information,2009-2010,article22.txt
-0.010183299389002037,-5.0,information,2009-2010,article23.txt
-0.02132701421800948,-9.0,information,2009-2010,article24.txt
-0.01910828025477707,-6.0,information,2009-2010,article25.txt
-0.0023094688221709007,-1.0,information,2009-2010,article26.txt
-0.014962593516209476,-6.0,information,2009-2010,article27.txt
-0.011406844106463879,-6.0,information,2009-2010,article28.txt
-0.037694013303769404,-17.0,information,2009-2010,article29.txt
-0.014583333333333334,-7.0,information,2009-2010,article3.txt
0.01483679525222552,5.0,information,2009-2010,article30.txt
0.051587301587301584,26.0,information,2009-2010,article31.txt
0.002777777777777778,1.0,information,2009-2010,article32.txt
-0.01606425702811245,-8.0,information,2009-2010,article33.txt
-0.0058997050147492625,-2.0,information,2009-2010,article34.txt
0.024390243902439025,13.0,information,2009-2010,article35.txt
0.02894736842105263,11.0,information,2009-2010,article36.txt
0.029885057471264367,13.0,information,2009-2010,article37.txt
0.06341463414634146,39.0,information,2009-2010,article38.txt
0.024922118380062305,8.0,information,2009-2010,article39.txt
-0.005865102639296188,-2.0,information,2009-2010,article4.txt
0.006160164271047228,3.0,information,2009-2010,article40.txt
-0.017130620985010708,-8.0,information,2009-2010,article41.txt
0.044444444444444446,16.0,information,2009-2010,article42.txt
0.056776556776556776,31.0,information,2009-2010,article43.txt
0.03373015873015873,17.0,information,2009-2010,article44.txt
0.043596730245231606,16.0,information,2009-2010,article45.txt
0.025210084033613446,12.0,information,2009-2010,article46.txt
-0.027932960893854747,-15.0,information,2009-2010,article47.txt
0.0017094017094017094,1.0,information,2009-2010,article48.txt
0.043478260869565216,17.0,information,2009-2010,article5.txt
0.003913894324853229,2.0,information,2009-2010,article6.txt
0.029465930018416207,16.0,information,2009-2010,article7.txt
-0.01272264631043257,-5.0,information,2009-2010,article8.txt
-0.012096774193548387,-6.0,information,2009-2010,article9.txt
