a_score,score,avis,år,file
0.013215859030837005,6.0,information,2016-2017,article1.txt
0.05823293172690763,29.0,information,2016-2017,article10.txt
-0.017543859649122806,-6.0,information,2016-2017,article11.txt
-0.017811704834605598,-7.0,information,2016-2017,article12.txt
0.030534351145038167,12.0,information,2016-2017,article13.txt
-0.002070393374741201,-1.0,information,2016-2017,article14.txt
-0.020895522388059702,-7.0,information,2016-2017,article15.txt
0.015113350125944584,6.0,information,2016-2017,article16.txt
0.027833001988071572,14.0,information,2016-2017,article17.txt
0.038929440389294405,16.0,information,2016-2017,article18.txt
-0.01744186046511628,-9.0,information,2016-2017,article19.txt
-0.0072992700729927005,-3.0,information,2016-2017,article2.txt
0.037037037037037035,12.0,information,2016-2017,article20.txt
0.013333333333333334,8.0,information,2016-2017,article21.txt
0.03436426116838488,10.0,information,2016-2017,article22.txt
0.01038961038961039,4.0,information,2016-2017,article23.txt
0.05113636363636364,18.0,information,2016-2017,article24.txt
-0.01567398119122257,-10.0,information,2016-2017,article25.txt
0.021798365122615803,8.0,information,2016-2017,article26.txt
0.03857566765578635,13.0,information,2016-2017,article27.txt
0.06313131313131314,25.0,information,2016-2017,article28.txt
0.005780346820809248,2.0,information,2016-2017,article29.txt
-0.03608247422680412,-14.0,information,2016-2017,article3.txt
-0.008417508417508417,-5.0,information,2016-2017,article30.txt
0.04941176470588235,21.0,information,2016-2017,article31.txt
0.046798029556650245,19.0,information,2016-2017,article32.txt
0.04263565891472868,22.0,information,2016-2017,article33.txt
0.03888888888888889,14.0,information,2016-2017,article34.txt
-0.0066815144766146995,-3.0,information,2016-2017,article35.txt
-0.014644351464435146,-7.0,information,2016-2017,article36.txt
-0.023809523809523808,-11.0,information,2016-2017,article37.txt
-0.057736720554272515,-25.0,information,2016-2017,article38.txt
-0.04157549234135667,-19.0,information,2016-2017,article39.txt
0.04656319290465632,21.0,information,2016-2017,article4.txt
-0.029978586723768737,-14.0,information,2016-2017,article40.txt
0.030555555555555555,11.0,information,2016-2017,article41.txt
0.022675736961451247,10.0,information,2016-2017,article42.txt
-0.03112033195020747,-15.0,information,2016-2017,article43.txt
0.0069124423963133645,3.0,information,2016-2017,article44.txt
0.013605442176870748,4.0,information,2016-2017,article45.txt
0.025390625,13.0,information,2016-2017,article46.txt
0.0,0.0,information,2016-2017,article47.txt
0.006578947368421052,3.0,information,2016-2017,article48.txt
0.0425531914893617,20.0,information,2016-2017,article49.txt
0.01282051282051282,6.0,information,2016-2017,article5.txt
0.03208556149732621,12.0,information,2016-2017,article50.txt
0.01968503937007874,10.0,information,2016-2017,article51.txt
-0.01984126984126984,-10.0,information,2016-2017,article52.txt
-0.07751937984496124,-40.0,information,2016-2017,article53.txt
-0.017167381974248927,-8.0,information,2016-2017,article54.txt
-0.05485232067510549,-26.0,information,2016-2017,article55.txt
0.021052631578947368,10.0,information,2016-2017,article56.txt
0.0,0.0,information,2016-2017,article57.txt
0.018518518518518517,9.0,information,2016-2017,article58.txt
0.02012072434607646,10.0,information,2016-2017,article59.txt
0.005076142131979695,3.0,information,2016-2017,article6.txt
-0.022071307300509338,-13.0,information,2016-2017,article60.txt
0.03125,16.0,information,2016-2017,article61.txt
0.005681818181818182,2.0,information,2016-2017,article7.txt
0.021413276231263382,10.0,information,2016-2017,article8.txt
-0.002079002079002079,-1.0,information,2016-2017,article9.txt
