a_score,score,avis,år,file
0.019169329073482427,6.0,jyllandsposten,2009-2010,article1.txt
0.033073929961089495,17.0,jyllandsposten,2009-2010,article10.txt
0.03837953091684435,18.0,jyllandsposten,2009-2010,article11.txt
0.017341040462427744,6.0,jyllandsposten,2009-2010,article12.txt
-0.009708737864077669,-3.0,jyllandsposten,2009-2010,article13.txt
0.004975124378109453,2.0,jyllandsposten,2009-2010,article14.txt
0.03183023872679045,12.0,jyllandsposten,2009-2010,article15.txt
0.03900709219858156,11.0,jyllandsposten,2009-2010,article16.txt
-0.0963855421686747,-32.0,jyllandsposten,2009-2010,article17.txt
0.050595238095238096,17.0,jyllandsposten,2009-2010,article18.txt
0.03115264797507788,10.0,jyllandsposten,2009-2010,article19.txt
0.0020242914979757085,1.0,jyllandsposten,2009-2010,article2.txt
0.03225806451612903,9.0,jyllandsposten,2009-2010,article20.txt
0.007766990291262136,4.0,jyllandsposten,2009-2010,article21.txt
-0.006269592476489028,-2.0,jyllandsposten,2009-2010,article22.txt
0.06941838649155722,37.0,jyllandsposten,2009-2010,article23.txt
0.006042296072507553,2.0,jyllandsposten,2009-2010,article24.txt
-0.05804749340369393,-22.0,jyllandsposten,2009-2010,article25.txt
-0.026378896882494004,-11.0,jyllandsposten,2009-2010,article26.txt
-0.06460674157303371,-23.0,jyllandsposten,2009-2010,article27.txt
-0.06020066889632107,-18.0,jyllandsposten,2009-2010,article28.txt
-0.03278688524590164,-12.0,jyllandsposten,2009-2010,article29.txt
-0.0020161290322580645,-1.0,jyllandsposten,2009-2010,article3.txt
0.007142857142857143,3.0,jyllandsposten,2009-2010,article30.txt
0.013745704467353952,4.0,jyllandsposten,2009-2010,article31.txt
0.07853403141361257,30.0,jyllandsposten,2009-2010,article32.txt
-0.03614457831325301,-21.0,jyllandsposten,2009-2010,article4.txt
-0.007233273056057866,-4.0,jyllandsposten,2009-2010,article5.txt
0.052980132450331126,16.0,jyllandsposten,2009-2010,article6.txt
0.04645476772616137,19.0,jyllandsposten,2009-2010,article7.txt
0.04,14.0,jyllandsposten,2009-2010,article8.txt
0.030821917808219176,9.0,jyllandsposten,2009-2010,article9.txt
