a_score,score,avis,år,file
-0.0113314447592068,-4.0,jyllandsposten,2007-2008,article1.txt
0.025889967637540454,8.0,jyllandsposten,2007-2008,article10.txt
0.005494505494505495,2.0,jyllandsposten,2007-2008,article11.txt
0.0035211267605633804,1.0,jyllandsposten,2007-2008,article12.txt
0.03903903903903904,13.0,jyllandsposten,2007-2008,article13.txt
0.017006802721088437,5.0,jyllandsposten,2007-2008,article14.txt
0.041811846689895474,12.0,jyllandsposten,2007-2008,article15.txt
-0.04656319290465632,-21.0,jyllandsposten,2007-2008,article16.txt
0.0125,4.0,jyllandsposten,2007-2008,article17.txt
0.03731343283582089,10.0,jyllandsposten,2007-2008,article18.txt
0.0877742946708464,28.0,jyllandsposten,2007-2008,article19.txt
0.07168458781362007,20.0,jyllandsposten,2007-2008,article2.txt
0.015306122448979591,6.0,jyllandsposten,2007-2008,article20.txt
-0.038560411311053984,-15.0,jyllandsposten,2007-2008,article21.txt
0.038781163434903045,14.0,jyllandsposten,2007-2008,article22.txt
-0.007425742574257425,-3.0,jyllandsposten,2007-2008,article23.txt
-0.012690355329949238,-5.0,jyllandsposten,2007-2008,article24.txt
0.013468013468013467,4.0,jyllandsposten,2007-2008,article25.txt
0.12266666666666666,46.0,jyllandsposten,2007-2008,article26.txt
0.045871559633027525,10.0,jyllandsposten,2007-2008,article27.txt
0.024667931688804556,13.0,jyllandsposten,2007-2008,article28.txt
0.009345794392523364,4.0,jyllandsposten,2007-2008,article29.txt
0.044009779951100246,18.0,jyllandsposten,2007-2008,article3.txt
0.025714285714285714,9.0,jyllandsposten,2007-2008,article30.txt
0.010330578512396695,5.0,jyllandsposten,2007-2008,article31.txt
0.05223880597014925,28.0,jyllandsposten,2007-2008,article4.txt
0.008350730688935281,4.0,jyllandsposten,2007-2008,article5.txt
0.01580135440180587,7.0,jyllandsposten,2007-2008,article6.txt
0.041666666666666664,11.0,jyllandsposten,2007-2008,article7.txt
0.012468827930174564,5.0,jyllandsposten,2007-2008,article8.txt
0.0025380710659898475,1.0,jyllandsposten,2007-2008,article9.txt
