a_score,score,avis,år,file
-0.056022408963585436,-20.0,jyllandsposten,2008-2009,article1.txt
0.04065040650406504,10.0,jyllandsposten,2008-2009,article10.txt
-0.0038461538461538464,-1.0,jyllandsposten,2008-2009,article11.txt
0.02631578947368421,8.0,jyllandsposten,2008-2009,article12.txt
0.06687898089171974,21.0,jyllandsposten,2008-2009,article13.txt
-0.04481792717086835,-16.0,jyllandsposten,2008-2009,article14.txt
0.013937282229965157,4.0,jyllandsposten,2008-2009,article15.txt
0.022857142857142857,8.0,jyllandsposten,2008-2009,article16.txt
-0.04833836858006042,-16.0,jyllandsposten,2008-2009,article17.txt
0.025477707006369428,8.0,jyllandsposten,2008-2009,article18.txt
-0.022598870056497175,-8.0,jyllandsposten,2008-2009,article19.txt
0.05307262569832402,19.0,jyllandsposten,2008-2009,article2.txt
0.020512820512820513,8.0,jyllandsposten,2008-2009,article20.txt
0.0584958217270195,21.0,jyllandsposten,2008-2009,article21.txt
0.02654867256637168,12.0,jyllandsposten,2008-2009,article22.txt
0.06630824372759857,37.0,jyllandsposten,2008-2009,article23.txt
0.06461538461538462,21.0,jyllandsposten,2008-2009,article24.txt
0.024778761061946902,14.0,jyllandsposten,2008-2009,article25.txt
0.025974025974025976,14.0,jyllandsposten,2008-2009,article26.txt
0.012738853503184714,4.0,jyllandsposten,2008-2009,article27.txt
-0.006825938566552901,-2.0,jyllandsposten,2008-2009,article28.txt
0.01182033096926714,5.0,jyllandsposten,2008-2009,article29.txt
0.05422993492407809,25.0,jyllandsposten,2008-2009,article3.txt
0.056074766355140186,24.0,jyllandsposten,2008-2009,article4.txt
0.050666666666666665,19.0,jyllandsposten,2008-2009,article5.txt
-0.0297029702970297,-6.0,jyllandsposten,2008-2009,article6.txt
0.004662004662004662,2.0,jyllandsposten,2008-2009,article7.txt
0.016025641025641024,5.0,jyllandsposten,2008-2009,article8.txt
0.020833333333333332,10.0,jyllandsposten,2008-2009,article9.txt
